layer,matrix,variant,mean_kurtosis,mean_max_std_ratio,frob_norm,delta_frob_over_W_frob
11,o_proj,lora,0.5546365034635824,4.443967163752148,55.30300667745615,0.026691526174545288
11,gate_proj,base,0.460207364683693,4.230602656189468,138.854620387001,0.0
11,gate_proj,svmo,0.46028949292284155,4.230771627048238,138.86467631559262,0.00021271381410770118
11,gate_proj,lora,0.4596764564693132,4.230347155923847,138.89291455984207,0.02360217086970806
11,up_proj,base,0.39839633413338077,4.18788835702673,135.36222634277894,0.0
11,up_proj,svmo,0.39839430198268166,4.187885079309576,135.3614636861029,2.0255552954040468e-05
11,up_proj,lora,0.3978978088825445,4.187632056709255,135.40463624092177,0.025044819340109825
11,down_proj,base,0.6140112835419831,5.087526356294466,133.99019330099597,0.0
11,down_proj,svmo,0.6139594923407107,5.08747515313003,133.9974915511807,0.00017388675769325346
11,down_proj,lora,0.6125835509127494,5.086878009015414,134.03170202115902,0.025020018219947815
12,q_proj,base,0.663742307169767,4.772903973665968,62.261454401945606,0.0
12,q_proj,svmo,0.6637636404996236,4.772955279245169,62.26530279088681,0.00013067755207885057
12,q_proj,lora,0.6622248963596936,4.771270772755709,62.2804469639428,0.024411486461758614
12,k_proj,base,1.2075213724464482,5.182845630385561,26.823230334752214,0.0
12,k_proj,svmo,1.207181931828452,5.1824072604540685,26.81345635934236,0.0004878123290836811
12,k_proj,lora,1.203262534414144,5.180171141213144,26.829110694979114,0.02111842669546604
12,v_proj,base,0.5091467430154739,4.345635631086977,20.582909619770078,0.0
12,v_proj,svmo,0.5091547346560266,4.345652950982494,20.58062209358121,0.00017743222997523844
12,v_proj,lora,0.5088076414378624,4.346915416940686,20.590524252797103,0.026523366570472717
12,o_proj,base,0.3302202839832858,4.235620594577358,55.60919011895273,0.0
12,o_proj,svmo,0.33019323115707644,4.235587160194198,55.59575397453148,0.0005266509251669049
12,o_proj,lora,0.32975535367725717,4.234650194819193,55.6278059535046,0.026056693866848946
12,gate_proj,base,0.8660934619043306,4.357128288216818,136.41264719326483,0.0
12,gate_proj,svmo,0.8660333949902911,4.356961819906561,136.40335200964606,0.00019419027375988662
12,gate_proj,lora,0.8644243418661548,4.356863717355756,136.45209538368195,0.02434719167649746
12,up_proj,base,0.6211372279637604,4.30926099225834,136.84394421393353,0.0
12,up_proj,svmo,0.6211326185989566,4.309295983376144,136.8516394107409,0.00019774719839915633
12,up_proj,lora,0.6203104081994594,4.308902795671016,136.88339143452953,0.02395319752395153
12,down_proj,base,2.4513407345606004,5.826590868749016,135.73209535539976,0.0
12,down_proj,svmo,2.45107409294646,5.826423325040465,135.7430419936655,0.0002632258110679686
12,down_proj,lora,2.4459847022341847,5.826582665215169,135.77065248233137,0.02390516735613346
13,q_proj,base,1.1311387473020846,4.973315614904243,61.02667804281946,0.0
13,q_proj,svmo,1.1316204002695938,4.9736974366037625,61.047892374891845,0.0007002703496254981
13,q_proj,lora,1.1297161219806264,4.972428599799037,61.04460970673744,0.024138662964105606
13,k_proj,base,1.307784929226958,5.2331757846172,25.6045122649275,0.0
13,k_proj,svmo,1.309035024306905,5.234340341839186,25.63282795240886,0.0014115560334175825
13,k_proj,lora,1.3038805115334724,5.230635836831203,25.610692794575844,0.021099284291267395
13,v_proj,base,0.8773047083902349,4.971803817444886,22.459298451039654,0.0
13,v_proj,svmo,0.8771727019567754,4.971546705242348,22.476171000994093,0.0012756303185597062
13,v_proj,lora,0.8758456849119178,4.969347611654903,22.466298160623804,0.02494257129728794
13,o_proj,base,1.1246458042549343,4.732447868218254,57.511935301842136,0.0
13,o_proj,svmo,1.1251628216153706,4.732793643872192,57.53160078602191,0.0007501406944356859
13,o_proj,lora,1.1230967052575276,4.73191875765375,57.53031275056003,0.02480042725801468
13,gate_proj,base,1.0911419890687608,4.402129134608667,139.25112011544056,0.0
13,gate_proj,svmo,1.0909731314983837,4.401598078966636,139.22071972918187,0.0006117703742347658
13,gate_proj,lora,1.0893928366558459,4.401764159946081,139.28918816052692,0.023396234959363937
13,up_proj,base,0.8243636008044721,4.3116848857178915,135.24339808556056,0.0
13,up_proj,svmo,0.8243609700279182,4.311736352285297,135.25440291078795,0.0002783643431030214
13,up_proj,lora,0.8230607235621452,4.311187802523027,135.2847252542264,0.024703767150640488
13,down_proj,base,2.2079003246754603,5.618445402190834,133.58869786642305,0.0
13,down_proj,svmo,2.2074650857240963,5.618172562644367,133.6126336783459,0.0005871267057955265
13,down_proj,lora,2.204727368829261,5.6175521166605416,133.62863680806603,0.024595554918050766
14,q_proj,base,0.9252460066777629,4.944251434459303,59.879382330604514,0.0
14,q_proj,svmo,0.9250021349628698,4.943930692352071,59.86178454212258,0.0005542913568206131
14,q_proj,lora,0.9237153588073228,4.943030747569962,59.89847421448631,0.02468760684132576
14,k_proj,base,0.9376177000868113,4.940654472955176,25.307621565483696,0.0
14,k_proj,svmo,0.9376645834916774,4.940744887724323,25.311259460698068,0.00018269209249410778
14,k_proj,lora,0.9364288876938767,4.939670346430315,25.313557777022996,0.021644316613674164
14,v_proj,base,0.7760628235638805,4.635864899225394,19.75801698463805,0.0
14,v_proj,svmo,0.7760868773298636,4.63587861960869,19.75623974876192,0.00014237950381357223
14,v_proj,lora,0.7746981447630397,4.636045368383714,19.765283472607106,0.027354001998901367
14,o_proj,base,1.0216565899680514,4.88554566116042,54.60895525249064,0.0
14,o_proj,svmo,1.0209936932425905,4.884877736981638,54.591044617447984,0.0006755398353561759
14,o_proj,lora,1.0198936104301042,4.884333456920483,54.627983652266664,0.02662230096757412
14,gate_proj,base,1.3736144837856885,4.475176705602994,136.8307712033552,0.0
14,gate_proj,svmo,1.3735715929332528,4.474980922209903,136.81936743288156,0.0002406232088105753
14,gate_proj,lora,1.3709880413932813,4.475155938863357,136.86943320782606,0.023829879239201546
14,up_proj,base,1.129466455490719,4.441267845981945,136.27902275698432,0.0
14,up_proj,svmo,1.1294143756724633,4.441320776288963,136.29379789005569,0.00038038662751205266
14,up_proj,lora,1.1274981180194528,4.440742340614191,136.31888697668145,0.024409117177128792
14,down_proj,base,2.5936867042261946,6.046941705878619,134.80671597531165,0.0
14,down_proj,svmo,2.5930402517011855,6.046428734364897,134.83417490941213,0.0006576853920705616
14,down_proj,lora,2.58828408205186,6.045801867022793,134.84476146844025,0.023814454674720764
15,q_proj,base,1.0630114179701133,4.940620997741134,62.19952571130139,0.0
15,q_proj,svmo,1.0627998283201927,4.940829093630929,62.23498812995971,0.001138174207881093
15,q_proj,lora,1.061443936485941,4.939000259836595,62.2182415983876,0.024128522723913193
15,k_proj,base,2.1092237808375174,5.18270816493885,26.497144363716593,0.0
15,k_proj,svmo,2.1090561777871155,5.182826166169839,26.506434409419402,0.00046805207966826856
